city,country,date,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,lat,lon
Vancouver,CA,2025-04-13,11.99,10.94,3.44,15.17,broken clouds,1029,65,3.1,243,49.2497,-123.1193
Vancouver,CA,2025-04-14,12.28,11.1,7.78,12.87,overcast clouds,1022,59,2.55,270,49.2497,-123.1193
Vancouver,CA,2025-04-15,12.1,11.14,7.83,13.21,scattered clouds,1018,68,5.51,283,49.2497,-123.1193
Vancouver,CA,2025-04-16,12,10.56,6.45,13.62,scattered clouds,1016,50,6.65,289,49.2497,-123.1193
Vancouver,CA,2025-04-17,14.13,12.72,7.65,14.36,sky is clear,1018,43,6.65,278,49.2497,-123.1193
Vancouver,CA,2025-04-18,13.05,11.64,8.58,14.57,sky is clear,1019,47,2.17,233,49.2497,-123.1193
Vancouver,CA,2025-04-19,13.14,12.02,8.18,13.14,overcast clouds,1015,58,3.02,90,49.2497,-123.1193
Vancouver,CA,2025-04-20,8.4,8.4,7.07,8.69,light rain,1019,77,4.1,80,49.2497,-123.1193
Vancouver,CA,2025-04-21,7.56,6.58,5.92,8.14,light rain,1018,85,4.6,83,49.2497,-123.1193
Vancouver,CA,2025-04-22,9.64,7.73,4.84,9.64,light rain,1022,60,3.64,248,49.2497,-123.1193
Vancouver,CA,2025-04-23,9.72,7.55,6.55,10.42,light rain,1022,67,4.25,279,49.2497,-123.1193
Vancouver,CA,2025-04-24,9.79,8.54,5.49,10.01,broken clouds,1021,71,2.57,109,49.2497,-123.1193
Vancouver,CA,2025-04-25,10.24,9.23,6.57,10.92,overcast clouds,1020,73,2.85,77,49.2497,-123.1193
Vancouver,CA,2025-04-26,11.95,10.95,7.95,11.95,light rain,1013,67,3.39,175,49.2497,-123.1193
Victoria,CA,2025-04-13,10.49,9.42,4.83,13.57,broken clouds,1029,70,3.97,252,48.4329,-123.3693
Victoria,CA,2025-04-14,12.42,11.28,6.64,12.83,broken clouds,1022,60,3.11,261,48.4329,-123.3693
Victoria,CA,2025-04-15,11.8,10.92,6.94,12.41,scattered clouds,1019,72,3.85,273,48.4329,-123.3693
Victoria,CA,2025-04-16,12.2,10.89,6.08,13.42,few clouds,1017,54,4.15,271,48.4329,-123.3693
Victoria,CA,2025-04-17,13.66,12.1,5.92,14.95,sky is clear,1019,39,2.94,262,48.4329,-123.3693
Victoria,CA,2025-04-18,14.01,12.75,6.93,14.08,sky is clear,1019,49,4.26,263,48.4329,-123.3693
Victoria,CA,2025-04-19,13.11,12.25,6.61,13.11,overcast clouds,1015,68,8.65,256,48.4329,-123.3693
Victoria,CA,2025-04-20,11.03,9.7,7.17,11.14,overcast clouds,1019,58,8.66,256,48.4329,-123.3693
Victoria,CA,2025-04-21,10.57,9.25,6.73,11.42,light rain,1018,60,7.91,265,48.4329,-123.3693
Victoria,CA,2025-04-22,10.62,9.1,5.57,11.21,light rain,1022,52,5.11,250,48.4329,-123.3693
Victoria,CA,2025-04-23,9.22,8.6,5.59,9.69,light rain,1023,76,3.92,259,48.4329,-123.3693
Victoria,CA,2025-04-24,10.58,9.44,5.06,10.91,broken clouds,1022,67,3.25,226,48.4329,-123.3693
Victoria,CA,2025-04-25,10.5,9.49,5.93,10.91,broken clouds,1020,72,2.43,264,48.4329,-123.3693
Victoria,CA,2025-04-26,12.26,11.45,6.27,12.26,light rain,1013,73,4.29,242,48.4329,-123.3693
Calgary,CA,2025-04-13,3.59,1.31,-3.99,6.81,few clouds,1024,45,7.64,332,51.0501,-114.0853
Calgary,CA,2025-04-14,9.89,7.45,0.24,13.05,scattered clouds,1018,38,5.01,165,51.0501,-114.0853
Calgary,CA,2025-04-15,13.74,12.24,5.08,15.68,light rain,1007,41,9.69,12,51.0501,-114.0853
Calgary,CA,2025-04-16,0.29,-5.25,-0.15,5.82,rain and snow,1016,100,7.73,6,51.0501,-114.0853
Calgary,CA,2025-04-17,-0.91,-7.66,-3.19,0.82,light snow,1026,84,8.66,341,51.0501,-114.0853
Calgary,CA,2025-04-18,3.67,0.54,-4.77,6.31,scattered clouds,1022,71,4.66,169,51.0501,-114.0853
Calgary,CA,2025-04-19,9.24,6.8,0.21,12.81,broken clouds,1009,43,5.68,154,51.0501,-114.0853
Calgary,CA,2025-04-20,13.34,11.98,4.11,15.37,sky is clear,1003,48,5.26,345,51.0501,-114.0853
Calgary,CA,2025-04-21,4.08,0.68,1.12,7.87,rain and snow,1009,95,6.76,344,51.0501,-114.0853
Calgary,CA,2025-04-22,1.58,-2.2,-0.92,2.11,rain and snow,1016,71,6.3,340,51.0501,-114.0853
Calgary,CA,2025-04-23,1.03,1.03,-2.57,3.35,light snow,1022,72,3.15,26,51.0501,-114.0853
Calgary,CA,2025-04-24,3.14,-1,-0.77,3.86,light snow,1022,67,5.77,13,51.0501,-114.0853
Calgary,CA,2025-04-25,5.02,2.12,-1.42,8.74,light rain,1016,52,5.05,344,51.0501,-114.0853
Calgary,CA,2025-04-26,10.79,9,0.58,13.15,scattered clouds,1003,41,3.93,273,51.0501,-114.0853
Edmonton,CA,2025-04-13,7.34,4.12,-1,11.46,sky is clear,1022,41,6.42,317,53.5501,-113.4687
Edmonton,CA,2025-04-14,10.36,8.55,1.44,13.94,overcast clouds,1018,42,4.67,196,53.5501,-113.4687
Edmonton,CA,2025-04-15,7.08,3.24,4.07,10.19,light snow,1014,47,9,333,53.5501,-113.4687
Edmonton,CA,2025-04-16,4.76,0.56,2.1,6.73,overcast clouds,1017,52,7.11,354,53.5501,-113.4687
Edmonton,CA,2025-04-17,1.93,-3.08,-1.44,5.84,light snow,1027,55,6.17,343,53.5501,-113.4687
Edmonton,CA,2025-04-18,9.08,6.87,-0.38,13.11,broken clouds,1020,36,4.49,181,53.5501,-113.4687
