city,country,date_time,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,lat,lon
Vancouver,CA,2025-04-13 13:00:00,7.26,6.21,7.22,7.26,few clouds,1030,73,1.79,113,49.2497,-123.1193
Vancouver,CA,2025-04-13 14:00:00,7.7,7.05,7.7,9.48,scattered clouds,1030,71,1.48,144,49.2497,-123.1193
Vancouver,CA,2025-04-13 15:00:00,9.02,8.39,9.02,11.67,scattered clouds,1030,69,1.63,210,49.2497,-123.1193
Vancouver,CA,2025-04-13 16:00:00,10.58,9.42,10.58,12.79,broken clouds,1029,66,2.41,231,49.2497,-123.1193
Vancouver,CA,2025-04-13 17:00:00,12,10.95,12,13.19,broken clouds,1029,65,3.1,243,49.2497,-123.1193
Vancouver,CA,2025-04-13 18:00:00,14.32,13.4,14.32,14.32,overcast clouds,1028,61,3.02,249,49.2497,-123.1193
Vancouver,CA,2025-04-13 19:00:00,14.65,13.79,14.65,14.65,overcast clouds,1028,62,2.55,265,49.2497,-123.1193
Vancouver,CA,2025-04-13 20:00:00,15.17,14.34,15.17,15.17,overcast clouds,1027,61,1.94,277,49.2497,-123.1193
Vancouver,CA,2025-04-13 21:00:00,14.71,13.78,14.71,14.71,overcast clouds,1027,59,1.45,282,49.2497,-123.1193
Vancouver,CA,2025-04-13 22:00:00,13.94,12.9,13.94,13.94,overcast clouds,1027,58,1.53,287,49.2497,-123.1193
Vancouver,CA,2025-04-13 23:00:00,12.6,11.51,12.6,12.6,overcast clouds,1026,61,1.79,290,49.2497,-123.1193
Vancouver,CA,2025-04-14 00:00:00,11.01,9.81,11.01,11.01,overcast clouds,1026,63,2.11,302,49.2497,-123.1193
Vancouver,CA,2025-04-14 01:00:00,10.01,8.79,10.01,10.01,overcast clouds,1026,66,1.9,316,49.2497,-123.1193
Vancouver,CA,2025-04-14 02:00:00,9.63,8.89,9.63,9.63,overcast clouds,1026,68,1.85,323,49.2497,-123.1193
Vancouver,CA,2025-04-14 03:00:00,9.65,9.18,9.65,9.65,overcast clouds,1026,69,1.57,334,49.2497,-123.1193
Vancouver,CA,2025-04-14 04:00:00,8.69,8.69,8.69,8.69,overcast clouds,1025,71,1.13,349,49.2497,-123.1193
Vancouver,CA,2025-04-14 05:00:00,8.61,8.61,8.61,8.61,overcast clouds,1025,73,0.57,351,49.2497,-123.1193
Vancouver,CA,2025-04-14 06:00:00,8.41,8.41,8.41,8.41,overcast clouds,1025,75,0.51,339,49.2497,-123.1193
Vancouver,CA,2025-04-14 07:00:00,8.34,8.34,8.34,8.34,overcast clouds,1024,76,0.67,41,49.2497,-123.1193
Vancouver,CA,2025-04-14 08:00:00,8.2,8.2,8.2,8.2,overcast clouds,1024,76,0.82,91,49.2497,-123.1193
Vancouver,CA,2025-04-14 09:00:00,8.05,8.05,8.05,8.05,overcast clouds,1023,76,1.02,122,49.2497,-123.1193
Vancouver,CA,2025-04-14 10:00:00,7.78,7.78,7.78,7.78,overcast clouds,1023,77,1.02,118,49.2497,-123.1193
Vancouver,CA,2025-04-14 11:00:00,7.78,7.78,7.78,7.78,overcast clouds,1023,75,0.88,100,49.2497,-123.1193
Vancouver,CA,2025-04-14 12:00:00,8.76,8.76,8.76,8.76,overcast clouds,1023,71,0.24,156,49.2497,-123.1193
Victoria,CA,2025-04-13 13:00:00,6.99,6.33,6.99,7.19,scattered clouds,1030,81,1.41,330,48.4329,-123.3693
Victoria,CA,2025-04-13 14:00:00,7.27,7.27,7.27,8.39,scattered clouds,1030,79,1.26,354,48.4329,-123.3693
Victoria,CA,2025-04-13 15:00:00,7.98,7.98,7.98,9.46,scattered clouds,1030,77,1.19,26,48.4329,-123.3693
Victoria,CA,2025-04-13 16:00:00,9.18,9.18,9.18,10.64,scattered clouds,1029,75,1.3,53,48.4329,-123.3693
Victoria,CA,2025-04-13 17:00:00,10.49,9.42,10.49,11.36,broken clouds,1029,70,1.48,64,48.4329,-123.3693
Victoria,CA,2025-04-13 18:00:00,13.03,12.06,13.03,13.03,broken clouds,1028,64,2.06,65,48.4329,-123.3693
Victoria,CA,2025-04-13 19:00:00,12.92,11.89,12.92,12.92,broken clouds,1028,62,2.3,64,48.4329,-123.3693
Victoria,CA,2025-04-13 20:00:00,13.57,12.58,13.57,13.57,broken clouds,1027,61,2.05,73,48.4329,-123.3693
Victoria,CA,2025-04-13 21:00:00,13.37,12.36,13.37,13.37,broken clouds,1027,61,1.63,79,48.4329,-123.3693
Victoria,CA,2025-04-13 22:00:00,12.28,11.18,12.28,12.28,overcast clouds,1027,62,0.92,78,48.4329,-123.3693
Victoria,CA,2025-04-13 23:00:00,11.24,10.2,11.24,11.24,overcast clouds,1027,68,0.55,338,48.4329,-123.3693
Victoria,CA,2025-04-14 00:00:00,10.15,9.07,10.15,10.15,overcast clouds,1026,71,1.26,294,48.4329,-123.3693
Victoria,CA,2025-04-14 01:00:00,9.62,9.08,9.62,9.62,overcast clouds,1027,75,1.63,277,48.4329,-123.3693
Victoria,CA,2025-04-14 02:00:00,9.49,8.98,9.49,9.49,overcast clouds,1026,77,1.58,280,48.4329,-123.3693
Victoria,CA,2025-04-14 03:00:00,8.8,8.8,8.8,8.8,overcast clouds,1026,79,1.26,296,48.4329,-123.3693
Victoria,CA,2025-04-14 04:00:00,7.44,7.44,7.44,7.44,overcast clouds,1026,80,1.3,312,48.4329,-123.3693
Victoria,CA,2025-04-14 05:00:00,7.43,7.43,7.43,7.43,overcast clouds,1025,79,1.31,323,48.4329,-123.3693
Victoria,CA,2025-04-14 06:00:00,7.51,6.95,7.51,7.51,overcast clouds,1025,78,1.38,345,48.4329,-123.3693
Victoria,CA,2025-04-14 07:00:00,7.45,6.64,7.45,7.45,overcast clouds,1024,78,1.59,352,48.4329,-123.3693
Victoria,CA,2025-04-14 08:00:00,7.34,6.56,7.34,7.34,overcast clouds,1024,78,1.55,358,48.4329,-123.3693
Victoria,CA,2025-04-14 09:00:00,6.99,6.03,6.99,6.99,overcast clouds,1024,79,1.66,4,48.4329,-123.3693
Victoria,CA,2025-04-14 10:00:00,6.64,5.6,6.64,6.64,overcast clouds,1023,80,1.69,359,48.4329,-123.3693
Victoria,CA,2025-04-14 11:00:00,6.77,5.65,6.77,6.77,overcast clouds,1023,79,1.78,354,48.4329,-123.3693
Victoria,CA,2025-04-14 12:00:00,8.13,7.22,8.13,8.13,overcast clouds,1023,74,1.78,358,48.4329,-123.3693
Calgary,CA,2025-04-13 13:00:00,2,-1.16,2,3.01,few clouds,1025,58,3.08,314,51.0501,-114.0853
Calgary,CA,2025-04-13 14:00:00,2.44,-0.26,2.44,4.2,few clouds,1025,55,2.64,312,51.0501,-114.0853
Calgary,CA,2025-04-13 15:00:00,2.83,0.62,2.83,4.08,few clouds,1025,50,2.2,275,51.0501,-114.0853
Calgary,CA,2025-04-13 16:00:00,3.55,1.27,3.55,4.59,few clouds,1024,45,2.41,238,51.0501,-114.0853
Calgary,CA,2025-04-13 17:00:00,4.02,2.09,4.02,4.53,few clouds,1023,41,2.13,251,51.0501,-114.0853
Calgary,CA,2025-04-13 18:00:00,4.83,3.49,4.83,4.83,few clouds,1021,32,1.71,225,51.0501,-114.0853
Calgary,CA,2025-04-13 19:00:00,4.64,2.52,4.64,4.64,few clouds,1020,34,2.45,218,51.0501,-114.0853
Calgary,CA,2025-04-13 20:00:00,6.81,5.08,6.81,6.81,scattered clouds,1020,39,2.46,250,51.0501,-114.0853
Calgary,CA,2025-04-13 21:00:00,5.91,4.95,5.91,5.91,scattered clouds,1020,42,1.53,301,51.0501,-114.0853
Calgary,CA,2025-04-13 22:00:00,6.26,4.9,6.26,6.26,overcast clouds,1021,42,1.94,319,51.0501,-114.0853
Calgary,CA,2025-04-13 23:00:00,5.12,3.46,5.12,5.12,overcast clouds,1021,45,2.05,352,51.0501,-114.0853
Calgary,CA,2025-04-14 00:00:00,3.17,0.68,3.17,3.17,overcast clouds,1022,49,2.56,352,51.0501,-114.0853
Calgary,CA,2025-04-14 01:00:00,2.16,-0.16,2.16,2.16,overcast clouds,1023,51,2.2,319,51.0501,-114.0853
Calgary,CA,2025-04-14 02:00:00,1.15,-1.51,1.15,1.15,broken clouds,1023,53,2.35,275,51.0501,-114.0853
Calgary,CA,2025-04-14 03:00:00,0.24,-2.64,0.24,0.24,broken clouds,1024,57,2.41,273,51.0501,-114.0853
