city,country,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,datetimestamp
Vancouver,CA,5.18,-0.5,3.46,6.58,few clouds,1023,80,11.32,290,2025-04-12 11:00:00
Vancouver,CA,6.81,1.57,4.57,7.9,few clouds,1023,73,11.83,280,2025-04-12 12:00:00
Vancouver,CA,7.48,2.69,5.81,8.45,few clouds,1024,74,10.8,280,2025-04-12 13:00:00
Vancouver,CA,8.4,4.03,7.08,9.61,few clouds,1024,74,10.29,290,2025-04-12 14:00:00
Vancouver,CA,9.7,5.57,7.9,11.1,few clouds,1024,71,11.18,233,2025-04-12 15:00:00
Vancouver,CA,9.71,5.77,8.46,10.96,few clouds,1025,70,10.28,235,2025-04-12 16:00:00
Vancouver,CA,10.43,9.3,9.01,11.79,few clouds,1025,68,10.8,280,2025-04-12 17:00:00
Vancouver,CA,10.76,9.64,9.43,12.39,few clouds,1025,67,9.77,270,2025-04-12 18:00:00
Vancouver,CA,11.75,10.57,10.13,13.5,few clouds,1025,61,9.26,280,2025-04-12 19:00:00
Vancouver,CA,11.47,10.29,10.13,13.5,few clouds,1025,62,9.39,235,2025-04-12 20:00:00
Vancouver,CA,12.21,10.95,10.68,13.58,few clouds,1025,56,8.75,280,2025-04-12 21:00:00
Vancouver,CA,12.06,10.78,10.68,13.03,few clouds,1025,56,6.26,202,2025-04-12 22:00:00
Vancouver,CA,11.45,10.09,10.14,12.23,few clouds,1025,55,5.81,218,2025-04-12 23:00:00
Vancouver,CA,9.88,6.73,9.57,10.68,few clouds,1026,68,7.2,240,2025-04-13 00:00:00
Vancouver,CA,9.24,6.86,7.94,10.01,few clouds,1027,67,4.47,208,2025-04-13 01:00:00
Vancouver,CA,8.42,5.36,6.92,9.58,few clouds,1027,71,5.66,220,2025-04-13 02:00:00
Vancouver,CA,7.17,4.74,5.97,8.58,few clouds,1028,76,3.6,230,2025-04-13 03:00:00
Vancouver,CA,6.29,3.38,5.16,7.23,scattered clouds,1028,78,4.12,90,2025-04-13 04:00:00
Vancouver,CA,5.88,3.5,4.6,6.87,scattered clouds,1028,79,3.09,70,2025-04-13 05:00:00
Vancouver,CA,5.16,3.03,4.43,6.31,scattered clouds,1029,82,2.57,100,2025-04-13 06:00:00
Vancouver,CA,4.63,1.34,3.32,6.27,scattered clouds,1029,80,4.12,100,2025-04-13 07:00:00
Vancouver,CA,5.02,2.12,3.49,5.76,few clouds,1029,80,3.6,80,2025-04-13 08:00:00
Vancouver,CA,4.22,1.15,3.19,5.76,few clouds,1029,83,3.6,80,2025-04-13 09:00:00
Vancouver,CA,3.72,0.54,2.35,5.57,few clouds,1030,83,3.6,80,2025-04-13 10:00:00
Victoria,CA,5.03,1.08,3.05,6.7,few clouds,1027,77,5.66,260,2025-04-12 11:00:00
Victoria,CA,5.73,0.0,4.21,7.16,few clouds,1027,77,12.35,260,2025-04-12 12:00:00
Victoria,CA,7.37,2.54,6.09,8.31,few clouds,1027,68,10.8,270,2025-04-12 13:00:00
Victoria,CA,8.87,6.12,7.11,10.83,few clouds,1028,63,5.14,240,2025-04-12 14:00:00
Victoria,CA,9.75,7.04,8.31,11.16,few clouds,1028,62,5.66,250,2025-04-12 15:00:00
Victoria,CA,10.5,9.17,8.87,11.98,few clouds,1028,60,7.2,230,2025-04-12 16:00:00
Victoria,CA,10.82,9.42,9.42,12.55,few clouds,1028,56,9.26,250,2025-04-12 17:00:00
Victoria,CA,11.16,9.74,9.98,12.55,few clouds,1028,54,9.77,260,2025-04-12 18:00:00
Victoria,CA,11.26,9.8,9.98,13.21,few clouds,1028,52,8.75,250,2025-04-12 19:00:00
Victoria,CA,11.45,10.03,10.04,13.16,scattered clouds,1029,53,9.26,250,2025-04-12 20:00:00
Victoria,CA,11.72,10.28,10.98,13.21,scattered clouds,1028,51,10.29,260,2025-04-12 21:00:00
Victoria,CA,11.21,9.72,10.98,12.11,scattered clouds,1029,51,9.26,260,2025-04-12 22:00:00
Victoria,CA,10.68,9.24,9.98,11.79,few clouds,1029,55,9.77,250,2025-04-12 23:00:00
Victoria,CA,9.23,4.13,8.64,10.16,few clouds,1030,63,15.95,300,2025-04-13 00:00:00
Victoria,CA,8.38,3.58,7.53,9.04,broken clouds,1030,68,12.35,290,2025-04-13 01:00:00
Victoria,CA,7.9,3.48,6.98,8.36,few clouds,1031,70,9.77,280,2025-04-13 02:00:00
Victoria,CA,7.54,2.77,6.42,8.36,few clouds,1031,72,10.8,280,2025-04-13 03:00:00
Victoria,CA,7.3,2.69,5.35,8.31,overcast clouds,1031,75,9.77,260,2025-04-13 04:00:00
Victoria,CA,7.2,2.56,5.11,7.98,overcast clouds,1031,75,9.77,260,2025-04-13 05:00:00
Victoria,CA,6.89,2.15,4.71,7.98,overcast clouds,1031,78,9.77,270,2025-04-13 06:00:00
Victoria,CA,6.69,2.02,4.16,7.98,overcast clouds,1031,80,9.26,260,2025-04-13 07:00:00
Victoria,CA,5.92,2.92,4.16,7.21,overcast clouds,1032,81,4.12,250,2025-04-13 08:00:00
Victoria,CA,4.7,2.96,3.05,6.21,broken clouds,1032,84,2.06,280,2025-04-13 09:00:00
Victoria,CA,4.22,3.0,2.16,5.54,few clouds,1032,85,1.54,300,2025-04-13 10:00:00
