city,country,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,lat,lon,pressure,humidity,wind_speed,wind_deg,visibility,sunrise,sunset,datetimestamp
Vancouver,CA,7.2,5.09,5.72,8.49,few clouds,49.2497,-123.1193,1030,73,3.09,70,10000,2025-04-13 10:23:54,2025-04-14 00:01:27,2025-04-13 12:39:53
Victoria,CA,7.03,4.34,5.68,8.68,scattered clouds,48.4329,-123.3693,1030,81,4.02,339,10000,2025-04-13 10:26:14,2025-04-14 00:01:06,2025-04-13 12:40:28
Calgary,CA,2.0,-2.21,0.4,2.96,few clouds,51.0501,-114.0853,1025,58,4.63,340,10000,2025-04-13 09:44:42,2025-04-13 23:28:24,2025-04-13 12:39:54
Edmonton,CA,4.21,0.39,3.07,5.45,few clouds,53.5501,-113.4687,1023,49,4.92,259,10000,2025-04-13 09:37:26,2025-04-13 23:30:43,2025-04-13 12:37:48
Regina,CA,5.67,2.62,4.99,6.13,broken clouds,50.4501,-104.6178,1013,83,4.12,280,10000,2025-04-13 09:07:57,2025-04-13 22:49:25,2025-04-13 12:40:29
Saskatoon,CA,3.98,-1.06,3.88,3.99,broken clouds,52.1168,-106.6345,1017,66,7.72,340,10000,2025-04-13 09:12:58,2025-04-13 23:00:32,2025-04-13 12:37:53
Winnipeg,CA,6.02,3.35,3.95,6.68,overcast clouds,49.8844,-97.147,1011,73,3.58,21,10000,2025-04-13 08:39:05,2025-04-13 22:18:31,2025-04-13 12:36:59
Toronto,CA,11.8,9.92,9.55,13.6,few clouds,43.7001,-79.4163,1018,34,2.68,214,10000,2025-04-13 07:37:35,2025-04-13 20:58:11,2025-04-13 12:40:21
Ottawa,CA,10.73,9.45,10.24,11.53,scattered clouds,45.4112,-75.6981,1017,61,2.57,210,10000,2025-04-13 07:20:23,2025-04-13 20:45:40,2025-04-13 12:40:29
Montreal,CA,8.83,5.88,7.25,10.79,broken clouds,45.5088,-73.5878,1016,65,5.66,50,10000,2025-04-13 07:11:48,2025-04-13 20:37:21,2025-04-13 12:39:40
Québec,CA,7.34,4.43,6.8,8.97,broken clouds,46.8123,-71.2145,1016,58,4.63,70,10000,2025-04-13 07:00:25,2025-04-13 20:29:46,2025-04-13 12:40:19
Fredericton,CA,1.9,-4.12,1.9,2.47,overcast clouds,45.9454,-66.6656,1012,90,8.75,40,10000,2025-04-13 06:43:32,2025-04-13 20:10:16,2025-04-13 12:37:02
Saint John,CA,3.57,-1.59,3.57,3.57,mist,45.2727,-66.0677,1009,93,7.72,30,9656,2025-04-13 06:42:06,2025-04-13 20:06:55,2025-04-13 12:37:49
Halifax,CA,4.9,1.15,4.0,5.25,overcast clouds,44.6453,-63.5724,1009,94,5.14,140,10000,2025-04-13 06:33:00,2025-04-13 19:56:03,2025-04-13 12:37:21
Dartmouth,CA,4.77,0.98,3.75,5.0,overcast clouds,44.6713,-63.5772,1009,94,5.14,140,10000,2025-04-13 06:32:59,2025-04-13 19:56:06,2025-04-13 12:40:29
Charlottetown,CA,4.15,0.21,3.44,5.43,light intensity drizzle,46.2352,-63.1267,1013,89,5.14,40,4828,2025-04-13 06:28:58,2025-04-13 19:56:31,2025-04-13 12:40:29
St. John's,CA,10.66,8.36,10.66,10.66,scattered clouds,47.5649,-52.7093,1022,22,5.14,160,10000,2025-04-13 05:45:21,2025-04-13 19:16:49,2025-04-13 12:38:17
